class,precision,recall,f1_score,support
Acne,0.9368,0.8990,0.9175,99
Eczema,0.8924,0.8924,0.8924,158
Tinea,0.8257,0.8571,0.8411,105
Macro Avg,0.8850,0.8828,0.8837,362
Weighted Avg,0.8852,0.8840,0.8844,362
accuracy,,,0.8840,362
